Settlement ID,Order ID,Type,Order Date,Deposit Date,Potential Income,Potential Loss,Actual Profit
shopify_11673038028959,shopify_#3563,Order,2025-09-04T13:06:18Z,2025-09-04T13:06:18Z,20.50,0.89,19.61
shopify_11673037045919,shopify_#3562,Order,2025-09-04T13:05:17Z,2025-09-04T13:05:18Z,10.23,0.60,9.63
shopify_11673036554399,shopify_#3561,Order,2025-09-04T13:04:35Z,2025-09-04T13:04:35Z,15.36,0.75,14.61
shopify_11673020792991,shopify_#3560,Order,2025-09-04T12:56:14Z,2025-09-04T12:56:15Z,46.09,1.64,44.45
shopify_11663490220191,shopify_#3559,Order,2025-08-29T17:13:34Z,2025-08-29T17:13:35Z,66.59,2.23,64.36
shopify_11652539318431,shopify_#3558,Order,2025-08-22T09:26:52Z,2025-08-22T09:26:53Z,13.99,0.71,13.28
shopify_11651163914399,shopify_#3557,Order,2025-08-21T13:13:19Z,2025-08-21T13:13:20Z,46.62,1.65,44.97
shopify_11637070364831,shopify_#3556,Order,2025-08-12T12:21:10Z,2025-08-12T12:21:10Z,4.66,0.44,4.22
shopify_11637042872479,shopify_#3555,Order,2025-08-12T12:07:16Z,2025-08-12T12:07:16Z,3.00,0.39,2.61
shopify_11636154237087,shopify_#3554,Order,2025-08-11T19:58:26Z,2025-08-11T19:58:26Z,3.00,0.39,2.61
shopify_11636148895903,shopify_#3553,Order,2025-08-12T11:12:08Z,2025-08-12T11:12:08Z,3.00,0.39,2.61
shopify_11636130578591,shopify_#3552,Order,2025-08-11T19:44:58Z,2025-08-11T19:44:58Z,3.00,0.39,2.61
shopify_11635862339743,shopify_#3551,Order,2025-08-11T16:09:50Z,2025-08-11T16:09:50Z,9.00,0.56,8.44
shopify_11635828031647,shopify_#3550,Order,2025-08-11T15:50:49Z,2025-08-11T15:50:49Z,3.00,0.39,2.61
shopify_11635827605663,shopify_#3549,Order,2025-08-11T15:58:14Z,2025-08-11T15:58:14Z,6.00,0.47,5.53
shopify_11635803685023,shopify_#3548,Order,2025-08-11T15:24:15Z,2025-08-11T15:24:15Z,3.00,0.39,2.61
shopify_11584631832735,shopify_#3547,Order,2025-07-14T13:36:26Z,2025-07-14T13:36:26Z,8.20,0.54,7.66
shopify_11584560562335,shopify_#3546,Order,2025-07-14T12:32:12Z,2025-07-14T12:32:13Z,10.23,0.60,9.63
shopify_11584559087775,shopify_#3545,Order,2025-07-14T12:31:21Z,2025-07-14T12:31:22Z,9.21,0.57,8.64
shopify_11584538575007,shopify_#3544,Order,2025-07-14T12:11:28Z,2025-07-14T12:11:28Z,8.20,0.54,7.66
shopify_11584537854111,shopify_#3543,Order,2025-07-14T12:10:50Z,2025-07-14T12:10:51Z,8.20,0.54,7.66
shopify_11584537428127,shopify_#3542,Order,2025-07-14T12:10:06Z,2025-07-14T12:10:07Z,6.14,0.48,5.66
shopify_11584536707231,shopify_#3541,Order,2025-07-14T12:09:25Z,2025-07-14T12:09:25Z,6.14,0.48,5.66
shopify_11584535920799,shopify_#3540,Order,2025-07-14T12:08:42Z,2025-07-14T12:08:43Z,5.12,0.45,4.67
shopify_11578255573151,shopify_#3539,Order,2025-07-10T14:06:57Z,2025-07-10T14:06:58Z,132.88,4.15,128.73
shopify_11578255573151,shopify_#3539,Refund,2025-07-10T14:07:29Z,2025-07-10T14:06:58Z,-51.17,0.00,-51.17
shopify_11578232537247,shopify_#3538,Order,2025-07-10T13:50:46Z,2025-07-10T13:50:47Z,72.00,2.39,69.61
shopify_11578232537247,shopify_#3538,Refund,2025-07-10T13:53:06Z,2025-07-10T13:50:47Z,-65.27,0.00,-65.27
shopify_11578225066143,shopify_#3537,Order,2025-07-10T13:45:46Z,2025-07-10T13:47:42Z,4.10,0.42,3.68
shopify_11578225066143,shopify_#3537,Order,2025-07-10T13:47:42Z,2025-07-10T13:47:42Z,3.00,0.39,2.61
shopify_11578222248095,shopify_#3536,Order,2025-07-10T13:41:38Z,2025-07-10T13:41:39Z,112.63,3.57,109.06
shopify_11578199670943,shopify_#3535,Order,2025-07-10T13:17:37Z,2025-07-10T13:17:38Z,65.27,2.19,63.08
shopify_11578174800031,shopify_#3534,Order,2025-07-10T12:55:11Z,2025-07-10T12:55:12Z,88.89,2.88,86.01
shopify_11578121879711,shopify_#3533,Order,2025-07-10T12:02:22Z,2025-07-10T12:02:23Z,51.17,1.78,49.39
shopify_11578110967967,shopify_#3532,Order,2025-07-10T11:56:48Z,2025-07-10T11:56:49Z,40.58,1.48,39.10
shopify_11578082721951,shopify_#3531,Order,2025-07-10T11:28:05Z,2025-07-10T11:28:06Z,70.28,2.34,67.94
shopify_11576553832607,shopify_#3530,Order,2025-07-09T13:16:47Z,2025-07-09T13:16:48Z,10.00,0.59,9.41
shopify_11576531583135,shopify_#3529,Order,2025-07-09T12:55:46Z,2025-07-09T12:55:46Z,100.00,3.20,96.80
shopify_11576531583135,shopify_#3529,Refund,2025-07-09T12:57:15Z,2025-07-09T12:55:46Z,-100.00,0.00,-100.00
shopify_11576527782047,shopify_#3528,Order,2025-07-09T12:50:49Z,2025-07-09T12:50:50Z,100.00,3.20,96.80
shopify_11576527782047,shopify_#3528,Refund,2025-07-09T12:53:48Z,2025-07-09T12:50:50Z,-50.00,0.00,-50.00
shopify_11575171317919,shopify_#3527,Order,2025-07-08T16:44:03Z,2025-07-08T16:44:04Z,8.39,0.54,7.85
shopify_11573412036767,shopify_#3526,Order,2025-07-07T15:53:58Z,2025-07-07T15:54:00Z,23.54,0.98,22.56
shopify_11573348204703,shopify_#3525,Order,2025-07-07T15:03:59Z,2025-07-07T15:03:59Z,3.73,0.41,3.32
shopify_11573339979935,shopify_#3524,Order,2025-07-07T14:59:09Z,2025-07-07T14:59:09Z,3.73,0.41,3.32
shopify_11573336113311,shopify_#3523,Order,2025-07-07T14:53:49Z,2025-07-07T14:53:50Z,85.59,2.78,82.81
shopify_11573332246687,shopify_#3522,Order,2025-07-07T14:48:53Z,2025-07-07T14:48:54Z,172.49,5.30,167.19
shopify_11573324349599,shopify_#3521,Order,2025-07-07T14:43:37Z,2025-07-07T14:43:38Z,18.65,0.84,17.81
shopify_11573319270559,shopify_#3520,Order,2025-07-07T14:38:15Z,2025-07-07T14:38:16Z,11.19,0.62,10.57
shopify_11573266808991,shopify_#3519,Order,2025-07-07T13:47:15Z,2025-07-07T13:47:15Z,11.19,0.62,10.57
shopify_11573255209119,shopify_#3518,Order,2025-07-07T13:36:33Z,2025-07-07T13:38:01Z,8.63,0.55,8.08
shopify_11573255209119,shopify_#3518,Order,2025-07-07T13:38:01Z,2025-07-07T13:38:01Z,0.93,0.33,0.60
shopify_11573232861343,shopify_#3517,Order,2025-07-07T13:15:56Z,2025-07-07T13:16:10Z,10.00,0.59,9.41
shopify_11573232861343,shopify_#3517,Order,2025-07-07T13:15:56Z,2025-07-07T13:16:10Z,55.27,1.90,53.37
shopify_11573232861343,shopify_#3517,Order,2025-07-07T13:16:09Z,2025-07-07T13:16:10Z,55.27,1.90,53.37
shopify_11573232861343,shopify_#3517,Refund,2025-07-07T13:23:12Z,2025-07-07T13:16:10Z,-55.27,0.00,-55.27
shopify_11573156118687,shopify_#3516,Order,2025-07-07T11:57:43Z,2025-07-07T11:57:45Z,32.73,1.25,31.48
shopify_11573156118687,shopify_#3516,Refund,2025-07-07T12:45:14Z,2025-07-07T11:57:45Z,-15.00,0.00,-15.00
shopify_11573156118687,shopify_#3516,Refund,2025-07-07T12:45:22Z,2025-07-07T11:57:45Z,-4.90,0.00,-4.90
shopify_11573131280543,shopify_#3515,Order,2025-07-07T11:29:23Z,2025-07-07T11:29:24Z,183.87,5.63,178.24
shopify_11573131280543,shopify_#3515,Refund,2025-07-07T11:31:57Z,2025-07-07T11:29:24Z,-46.57,0.00,-46.57
shopify_11573131280543,shopify_#3515,Refund,2025-07-07T11:34:29Z,2025-07-07T11:29:24Z,-100.00,0.00,-100.00
shopify_11568472293535,shopify_#3514,Order,2025-07-04T17:58:20Z,2025-07-04T17:58:37Z,30.00,1.17,28.83
shopify_11568472293535,shopify_#3514,Order,2025-07-04T17:58:20Z,2025-07-04T17:58:37Z,35.27,1.32,33.95
shopify_11568472293535,shopify_#3514,Order,2025-07-04T17:58:37Z,2025-07-04T17:58:37Z,35.27,1.32,33.95
shopify_11568472293535,shopify_#3514,Refund,2025-07-04T18:03:55Z,2025-07-04T17:58:37Z,-30.00,0.00,-30.00
shopify_11568472293535,shopify_#3514,Refund,2025-07-04T18:03:55Z,2025-07-04T17:58:37Z,-35.27,0.00,-35.27
shopify_11568445882527,shopify_#3513,Order,2025-07-04T17:44:13Z,2025-07-04T17:44:27Z,10.00,0.59,9.41
shopify_11568445882527,shopify_#3513,Order,2025-07-04T17:44:13Z,2025-07-04T17:44:27Z,55.27,1.90,53.37
